state,county,AveDailyPM2.5-2014,Z-score
AL,Autauga,11.7,0.98
AL,Baldwin,10.3,-1.28
AL,Barbour,11.5,0.66
AL,Bibb,11.2,0.18
AL,Blount,11.7,0.98
AL,Bullock,11.2,0.18
AL,Butler,10.6,-0.79
AL,Calhoun,11.8,1.14
AL,Chambers,11.4,0.5
AL,Cherokee,11.4,0.5
AL,Chilton,11.2,0.18
AL,Choctaw,10.1,-1.6
AL,Clarke,10.4,-1.11
AL,Clay,10.6,-0.79
AL,Cleburne,11,-0.15
AL,Coffee,10.9,-0.31
AL,Colbert,10.7,-0.63
AL,Conecuh,10.3,-1.28
AL,Coosa,11,-0.15
AL,Covington,10.5,-0.95
AL,Crenshaw,10.7,-0.63
AL,Cullman,11.6,0.82
AL,Dale,11,-0.15
AL,Dallas,11.1,0.01
AL,DeKalb,11.3,0.34
AL,Elmore,11.9,1.3
AL,Escambia,10.2,-1.44
AL,Etowah,11.5,0.66
AL,Fayette,10.6,-0.79
AL,Franklin,10.5,-0.95
AL,Geneva,10.6,-0.79
AL,Greene,10.5,-0.95
AL,Hale,10.8,-0.47
AL,Henry,10.9,-0.31
AL,Houston,10.7,-0.63
AL,Jackson,11,-0.15
AL,Jefferson,13.4,3.72
AL,Lamar,10.3,-1.28
AL,Lauderdale,11,-0.15
AL,Lawrence,11.3,0.34
AL,Lee,12.1,1.63
AL,Limestone,11.8,1.14
AL,Lowndes,10.9,-0.31
AL,Macon,11.7,0.98
AL,Madison,11.6,0.82
AL,Marengo,10.6,-0.79
AL,Marion,10.5,-0.95
AL,Marshall,11.8,1.14
AL,Mobile,10.8,-0.47
AL,Monroe,10.4,-1.11
AL,Montgomery,11.9,1.3
AL,Morgan,11.6,0.82
AL,Perry,10.7,-0.63
AL,Pickens,10.5,-0.95
AL,Pike,11,-0.15
AL,Randolph,11,-0.15
AL,Russell,12.1,1.63
AL,Shelby,12,1.47
AL,St. Clair,12,1.47
AL,Sumter,10.4,-1.11
AL,Talladega,11.5,0.66
AL,Tallapoosa,11.4,0.5
AL,Tuscaloosa,11.3,0.34
AL,Walker,11.6,0.82
AL,Washington,10.1,-1.6
AL,Wilcox,10.4,-1.11
AL,Winston,11,-0.15
AZ,Apache,5.7,-0.61
AZ,Cochise,7.5,0.29
AZ,Coconino,5.6,-0.66
AZ,Gila,5.8,-0.56
AZ,Graham,6,-0.46
AZ,Greenlee,5.7,-0.61
AZ,La Paz,5.7,-0.61
