query	lat	lon	lat_min	lat_max	lon_min	lon_max
Autauga, AL	32.5165255	-86.6319403	32.3075593	32.708079	-86.9211258	-86.4111038
Baldwin, AL	30.5677527	-87.7324392	30.1375221	31.3032945	-88.0622655	-87.3715797
Barbour, AL	31.8589311	-85.4032078	31.6175574	32.148415	-85.7479316	-85.0488249
Bibb, AL	32.8095879	-83.694562	32.660643	32.9528742	-83.89205	-83.48943
Blount, AL	35.7621743	-83.9730969	35.7617479	35.7621743	-83.9730969	-83.9725979
Bullock, AL	32.09929	-85.7091657	31.880236	32.3052885	-85.999275	-85.409569
Butler, AL	35.9375093	-86.8877558	35.9371633	35.9378935	-86.8877864	-86.8877276
Calhoun, AL	28.5031572	-96.6736551	28.0477524	28.7299835	-96.9303337	-96.322057
Chambers, AL	29.7191125	-94.5412295	29.524617	29.8903618	-94.9806317	-94.3533293
Cherokee, AL	34.1142554	-85.6004514	33.941814	34.526623	-85.843628	-85.3988656
Chilton, AL	51.13472265	-2.99334119724645	51.1346007	51.1348326	-2.9935551	-2.9931438
Choctaw, AL	31.9908095	-88.2821326	31.6977027	32.3102934	-88.4731014	-87.9276465
Clarke, AL	41.0152092	-93.7842976	40.896118	41.1621848	-94.015121	-93.5575611
Clay, AL	39.24733995	-94.5812899592809	39.2470959	39.2476445	-94.5817138	-94.5808664
Cleburne, AL	35.5298937	-92.0312818	35.3580685	35.7121549	-92.2536988	-91.7897247
Coffee, AL	31.3629619	-85.9870669	31.182364	31.619566	-86.1963039	-85.788727
Colbert, AL	34.6473396	-87.7921769	34.5594985	34.9073934	-88.1399028	-87.4159057
Conecuh, AL	31.3966783	-86.9437104	31.1811607	31.7528224	-87.4274125	-86.6618239
Coosa, AL	32.9181762	-86.2327497	32.7534919	33.104855	-86.5214744	-85.9993019
Covington, AL	31.4094122	-86.6076581	31.4079625	31.4116842	-86.6076787	-86.6076518
Crenshaw, AL	31.6809362	-86.3244009	31.4398952	32.052055	-86.499428	-86.143867
Cullman, AL	34.1335332	-86.8779268	33.8579234	34.314236	-87.150909	-86.451057
Dale, AL	31.3940969	-85.623763	31.195324	31.620783	-85.791328	-85.414986
Dallas, AL	-21.7893683	-48.1724127127314	-21.7895546	-21.7892908	-48.1724733	-48.1723557
DeKalb, AL	41.8903447	-88.7713953	41.6283423	42.1535738	-88.9420626	-88.5881064
Elmore, AL	32.5801231	-86.125195	32.4060339	32.769295	-86.4132775	-85.8531176
Escambia, AL	31.1168422	-87.1070947	30.994487	31.261965	-87.616164	-86.6878998
Etowah, AL	34.0096513	-86.0244495	34.0085952	34.0105372	-86.0246552	-86.024289
Fayette, AL	33.7303493	-87.7419088	33.519917	33.9198705	-87.9520937	-87.423195
Franklin, AL	35.0768327	-85.9233072	35.0765136	35.0773599	-85.923981	-85.9221398
Geneva, AL	31.0862933	-85.803014	30.992859	31.1985	-86.1932722	-85.485184
Greene, AL	39.8024857	-83.8900979	39.8024857	39.8033272	-83.8900979	-83.8894881
Hale, AL	34.0321298	-101.8088827	33.8245545	34.3131354	-102.090398	-101.5636672
Henry, AL	41.3021407	-90.2033163	41.3021208	41.3021407	-90.2033163	-90.2015707
Houston, AL	31.4909836	-95.48001	31.4893696	31.4918494	-95.4806165	-95.4788093
Jackson, AL	42.2525355	-90.4224308	42.2517128	42.2533188	-90.4227342	-90.4221244
Jefferson, AL	38.2617904	-85.7938784	38.2614709	38.2621315	-85.7939244	-85.7938376
Lamar, AL	33.7490016	-88.1003689	33.5242825	34.058333	-88.274619	-87.9461047
Lauderdale, AL	34.9049555	-87.6747398	34.7318586	35.0081121	-88.202969	-87.210358
Lawrence, AL	39.7433607	-105.002909034555	39.7427925	39.74396	-105.0036382	-105.0022028
Lee, AL	32.5814796	-85.3077038	32.409977	32.746384	-85.696938	-85.0010817
Limestone, AL	34.8342463	-86.9901321	34.5507833	34.9990092	-87.2809052	-86.7835913
Lowndes, AL	32.1088066	-86.6402541	31.9616974	32.4068241	-86.9084003	-86.394638
Macon, AL	32.366606	-85.6660307	32.2319745	32.596184	-86.0233835	-85.4336948
Madison, AL	37.7446652	-84.2877219	37.7446652	37.746322	-84.2877219	-84.2864793
Marengo, AL	32.201002	-87.7569365	31.989861	32.5476413	-88.1183037	-87.4720886
Marion, AL	44.9520378	-123.0287197	44.9519656	44.9520473	-123.0287734	-123.0284113
Marshall, AL	39.8066919	-80.8176653	39.8065013	39.8068722	-80.8177592	-80.8175732
Mobile, AL	30.6943566	-88.0430541	30.560374	30.843458	-88.221253	-87.956616
Monroe, AL	24.577854	-81.771691	24.5773858	24.577902	-81.7717449	-81.7711661
Montgomery, AL	32.37995285	-86.3107669425032	32.3790909	32.3807679	-86.3117068	-86.3098051
Morgan, AL	-19.8831846	-43.6596910482904	-19.8833642	-19.8830265	-43.6598645	-43.6595143
Perry, AL	41.8386702	-94.1067623	41.8131546	41.8603168	-94.1260091	-94.0673888
Pickens, AL	34.4630619	-84.4682402	34.373266	34.563965	-84.654854	-84.256767
Pike, AL	24.863176	67.0552131	24.8631634	24.8631844	67.0547759	67.0555638
Randolph, AL	38.0472916	-89.8107962	37.8030275	38.222843	-90.2069278	-89.593811
Russell, AL	38.8970508	-98.7980433	38.695366	39.133299	-99.040443	-98.483796
Shelby, AL	33.2503347	-86.6639746	33.0186603	33.546638	-87.026756	-86.341032
St. Clair, AL	38.4616972	-89.9324347	38.220215	38.6604675	-90.26519	-89.705116
Sumter, AL	32.5234698	-88.1837986	32.3074414	32.997876	-88.4216354	-87.8405642
Talladega, AL	33.3967079	-86.1597137	33.102974	33.6994712	-86.5031904	-85.794571
Tallapoosa, AL	32.8595687	-85.8023774	32.4927384	33.1070829	-86.0136959	-85.5928508
Tuscaloosa, AL	33.2095614	-87.5675258	33.114897	33.458866	-87.661589	-87.242629
Walker, AL	30.6795741	-95.5522823	30.5044443	31.058062	-95.8628304	-95.3273238
Washington, AL	38.8981337	-77.0444437250109	38.8980186	38.8982488	-77.044463	-77.0444245
Wilcox, AL	31.9523021	-87.3005169	31.827288	32.2692024	-87.6678736	-86.8553319
Winston, AL	39.34838	-76.61433	39.3481029	39.348932	-76.6143447	-76.614292
Apache, AZ	35.214632	-109.4786676	33.4754448	36.999346	-110.0010695	-109.045131
Cochise, AZ	31.8514532	-109.8181858	31.3324089	32.4276891	-110.4564602	-109.0476935
Coconino, AZ	35.9363252	-111.6948197	34.2582774	37.0030293	-113.354176	-110.7506454
Gila, AZ	33.74135485	-110.681288942475	32.9836661	34.499107	-111.720901	-110.0003147
Graham, AZ	32.8397096	-109.8685752	32.4244651	33.6527292	-110.453415	-109.113129
Greenlee, AZ	33.2312681	-109.2751297	32.4262338	33.778748	-109.4957742	-109.046564
La Paz, AZ	33.7923828	-114.0184443	33.0254058	34.31926	-114.7314741	-113.3319554
Maricopa, AZ	33.34883	-112.49123	32.5049739	34.0481432	-113.333755	-111.0399049
Mohave, AZ	35.7218038	-113.8271174	34.20977	37.0008206	-114.755618	-112.528968
Navajo, AZ	35.1819775	-110.3549451	33.5672166	37.00426	-110.7507551	-109.8269531
Pima, AZ	32.1112624	-111.6546163	31.4254941	32.514423	-113.333992	-110.4473185
Pinal, AZ	32.8085851	-111.4426212	32.5012303	33.466104	-112.203736	-110.448425
Santa Cruz, AZ	31.5094579	-110.8476281	31.3322135	31.734966	-111.3656851	-110.4482582
Yavapai, AZ	34.5668857	-112.5515965	33.88216	35.530651	-113.33448	-111.4612685
Yuma, AZ	32.665135	-114.476031572498	32.652402	32.726216	-114.6590405	-114.466075
Arkansas, AR	34.2902454	-91.3598511	33.937759	34.566502	-91.7116424	-91.05378
Ashley, AR	33.1742582	-91.7295595	33.0061812	33.395302	-92.1437248	-91.456467
Baxter, AR	36.2820691	-92.3445222	35.973545	36.498738	-92.595472	-92.1545367
Benton, AR	36.3456186	-94.2670404	36.098824	36.4996	-94.6178557	-93.8666159
Boone, AR	36.2829183	-93.0784759	36.114414	36.4984375	-93.3010456	-92.8541777
Bradley, AR	33.4494147	-92.16876	33.161339	33.70639	-92.382004	-91.958359
Calhoun, AR	33.5556787	-92.5143633	33.269836	33.8022676	-92.776802	-92.3097
Carroll, AR	36.3386737	-93.5093048	36.1215153	36.4993564	-93.869774	-93.2957168
Chicot, AR	33.2536665	-91.3026986	33.004106	33.5636364	-91.460419	-91.043624
Clark, AR	34.0541966	-93.198963	33.770855	34.340649	-93.502975	-92.877617
Clay, AR	36.3609902	-90.4087659	36.200615	36.4985432	-90.804329	-90.063891
Cleburne, AR	35.5298937	-92.0312818	35.3580685	35.7121549	-92.2536988	-91.7897247
Cleveland, AR	33.8847138	-92.1724506	33.702309	34.0641265	-92.4755671	-91.9529697
Columbia, AR	33.1938586	-93.2344337	33.0173046	33.4550536	-93.490512	-92.978485
