"","Count","Lat","Lon"
"virginia,roanoke",4,37.270973,-79.9414313
"california,san diego",317,32.7174202,-117.1627728
"wisconsin,sawyer",1,45.8731634,-91.1468287
"illinois,du page",9,41.8791735,-88.0346109
"louisiana,beauregard",1,31.552977,-92.60926
"texas,brewster",11,29.8462742,-103.2400734
"new york,new york",32,40.7127281,-74.0060152
"florida,seminole",9,28.7225829,-81.2353683
"virginia,bath",1,39.6267975,-78.2279514
"michigan,oakland",11,42.6618842,-83.3804439
"california,imperial",10,33.0305487,-115.3595666
"virginia,bedford",8,37.3344561,-79.5235083
"california,san bernardino",27,34.8253019,-116.0833144
"arizona,maricopa",17,33.34883,-112.49123
"illinois,lake",3,42.3327033,-87.9939552
"connecticut,tolland",2,41.8700166,-72.3677153
"texas,taylor",1,32.2793121,-99.8812612
"pennsylvania,montgomery",24,41.1703592,-76.8769076
"connecticut,new haven",10,41.29843435,-72.9310234270791
"utah,washington",13,37.2393471,-113.525776
"maryland,prince georges",9,38.8242032,-76.8936372
"idaho,fremont",2,44.2309391,-111.4218314
"oregon,harney",3,43.6432092,-118.8227102
"new york,onondaga",7,43.2462592,-77.4592856
"arizona,yavapai",8,34.5668857,-112.5515965
"colorado,gunnison",4,38.6476702,-107.0603126
"florida,leon",4,30.4683062,-84.2549068
"arizona,coconino",12,35.9363252,-111.6948197
"california,los angeles",34,34.0536909,-118.242766
"oregon,multnomah",13,45.5093799,-122.4006413
"arizona,pima",68,32.1112624,-111.6546163
"florida,collier",65,26.087964,-81.3794941
"florida,glades",35,26.9328123,-81.1895983
"texas,san saba",1,31.122268,-98.8397049
"missouri,mcdonald",2,36.6259839,-94.3529462
"georgia,ware",1,31.1727229,-82.4829338
"louisiana,st tammany",1,30.3940826,-89.8950698
"oklahoma,oklahoma",4,41.109143,-78.7371797050449
"california,santa cruz",15,37.050096,-121.9905908
"alabama,lawrence",1,34.4776367,-87.3017331
"kentucky,powell",1,37.8192526,-83.8239902
"florida,orange",2,28.5421109,-81.3790304
"pennsylvania,allegheny",5,39.9964906,-75.1134652
"ohio,medina",3,41.1383878,-81.8637474
"virginia,patrick",5,36.6818706,-80.284636
"north carolina,brunswick",1,34.3129464,-78.1611077
"texas,fort bend",8,29.511218,-95.7807348
"alabama,marshall",2,34.3396046,-86.3301801
"missouri,marion",1,39.8080573,-91.6318781
"florida,citrus",3,28.8512851,-82.5141209
"georgia,polk",1,33.9981581,-85.1567475
"florida,miami-dade",45,25.6364246,-80.4989467
"new jersey,union",3,40.6976019,-74.2632024
"south carolina,horry",2,33.9368081,-79.1341782
"florida,palm beach",1,26.6279798,-80.4494174
"nevada,churchill",1,39.6136309,-118.4191948
"arkansas,van buren",1,35.5759086,-92.4916144
"indiana,hamilton",4,41.5425675,-84.9234551750776
"texas,bexar",25,29.4263987,-98.5104781
"north carolina,buncombe",8,35.6292222,-82.5255603
"florida,alachua",297,29.675568,-82.3640109
"florida,levy",3,29.3008632,-82.7824592
"california,santa clara",15,37.2333253,-121.6846349
"pennsylvania,tioga",1,41.9086848,-77.1330266
"new york,richmond",1,42.7601685,-77.4944318979838
"california,sonoma",19,38.5110803,-122.8473388
"maryland,anne arundel",29,38.97888975,-76.4910703023656
"texas,williamson",10,30.6580927,-97.6041649
"new hampshire,strafford",3,43.327176,-71.18454
"north carolina,durham",8,35.97578325,-78.88435455
"washington,cowlitz",1,46.4587191,-122.8426166
"minnesota,houston",1,43.6624222,-91.4685617
"south carolina,richland",2,34.0557098,-80.9914791
"oklahoma,comanche",1,34.3689748,-97.963924
"virginia,shenandoah",1,38.4851245,-78.625016
"florida,jackson",1,30.8013861,-85.2063186
"illinois,cook",29,41.8197385,-87.756525
"kansas,crawford",4,37.503889,-94.8652466
"maryland,frederick",2,39.4142186,-77.4109269
"massachusetts,middlesex",29,42.3582393,-71.0966460255899
"kentucky,jackson",2,37.5534741,-83.3822604
"kentucky,lee",2,37.295882,-86.4994264
"texas,polk",3,30.7642828,-94.8192175
"florida,hillsborough",3,27.9184543,-82.3488057
"california,alameda",7,37.6090291,-121.899142
"california,kern",6,35.3145701,-118.7538222
"texas,harris",33,29.8119769,-95.3741247
"alabama,elmore",1,32.5801231,-86.125195
"virginia,fairfax",19,38.8462236,-77.3063733
"virginia,fauquier",8,37.27043135,-76.7207165540335
"north carolina,haywood",6,35.6201515,-79.0639047
"florida,lee",2,26.5999265,-81.8823135
"vermont,windham",3,43.1793702,-72.7258735
"washington,jefferson",6,40.2859036,-80.4986795
"new mexico,catron",3,33.9026943,-108.3800825
"california,contra costa",6,37.9034806,-121.9175345
"arizona,greenlee",1,33.2312681,-109.2751297
"district of columbia,washington",13,38.88905915,-77.0401699800873
"oregon,jackson",4,35.3307547,-83.2085786
"louisiana,rapides",4,31.3635131,-92.5868095
"california,san francisco",7,37.7790262,-122.4199061
"missouri,st louis city",4,38.6264178,-90.1998378
"minnesota,ramsey",6,45.0165728,-93.0949501
"maryland,st marys",3,9.7838125,76.7430308
"missouri,boone",12,39.0153926,-92.3307534
"north carolina,wake",13,35.5877538,-82.5538262
"virginia,appomattox",3,37.3570894,-78.8252911
"ohio,hancock",3,41.1553294,-83.8518834
"new jersey,atlantic",1,39.3642852,-74.4229351
"pennsylvania,butler",3,40.8610205,-79.8952251
"new york,westchester",4,41.2554602,-73.5793026
"oklahoma,tulsa",5,36.1556805,-95.9929113
"oklahoma,cherokee",2,36.7544746,-98.3567403
"south carolina,oconee",4,34.81540735,-82.9194952716483
"texas,travis",20,30.2878569,-97.7561392
"florida,polk",4,27.9448537,-81.7268789
"michigan,barry",4,42.5910739,-85.3242417
"michigan,saginaw",3,43.4200387,-83.9490365
"wisconsin,dane",6,43.2505472,-89.5015088
"pennsylvania,centre",17,40.3561943,-77.4072089
"kentucky,madison",8,37.8082444,-82.8059638
"california,san mateo",15,37.496904,-122.3330573
"south carolina,abbeville",1,34.1779495,-82.3792463
"north carolina,macon",1,36.4387585,-78.0838809
"florida,columbia",1,30.1935988,-82.6327488
"maryland,baltimore city",17,39.3053485,-76.6990587
"california,nevada",6,39.3540335,-120.8089843
"delaware,sussex",5,39.2475954,-75.301059970514
"georgia,de kalb",6,34.3284301,-84.0532437
"iowa,story",6,42.0161612,-93.489194
"california,santa barbara",9,34.4221319,-119.7026673
"alabama,baldwin",3,30.5677527,-87.7324392
"idaho,valley",3,44.7475094,-115.5978843
"missouri,greene",2,37.2671929,-93.3465486
"texas,hardin",2,30.3049642,-94.403904
"new york,essex",2,51.5843057,0.462328
"new york,clinton",7,43.0484029,-75.3785034
"new york,kings",6,43.1509069,-73.8542895
"oregon,marion",2,44.7486725,-122.934185554688
"illinois,will",4,41.4194058,-87.9994754
"wyoming,albany",1,41.6684047,-105.6812633
"oregon,washington",4,45.5601883,-123.0587907
"georgia,fulton",10,34.0580391,-84.2961283
"massachusetts,norfolk",4,42.1195426,-71.3250564
"new york,suffolk",5,40.8832318,-72.8578027
"florida,charlotte",1,26.9013269,-81.9156799
"kentucky,greenup",2,38.5731349,-82.8301677
"south carolina,lee",1,34.0053752,-80.9491751
"virginia,albemarle",8,37.96942765,-78.4797099705211
"missouri,jackson",22,39.03540865,-94.3582754507579
"virginia,rockbridge",6,37.8331804,-79.4622597
"california,el dorado",12,38.7574137,-120.5276129
"arizona,apache",3,35.214632,-109.4786676
"kansas,johnson",4,38.8837933,-94.8389141
"south carolina,chesterfield",1,34.735989,-80.0881194
"california,humboldt",38,40.5997415,-123.8997734
"kentucky,calloway",1,36.6257937,-88.271076
"new york,dutchess",1,41.6324,-73.682392
"massachusetts,worcester",12,42.2761217,-71.8058232
"ohio,hocking",4,39.3678487,-82.2657052
"texas,smith",1,32.3402898,-95.2563971
"louisiana,la salle",1,31.895371,-92.243322
"alabama,colbert",3,34.6473396,-87.7921769
"california,fresno",4,36.7295295,-119.708861260756
"wisconsin,milwaukee",2,43.0349931,-87.922497
"oregon,linn",3,44.4968904,-122.5485977
"texas,real",2,29.7949383,-99.8280905
"pennsylvania,perry",2,41.4629099,-80.0097647
"texas,angelina",3,31.2544545,-94.6181177
"tennessee,lawrence",2,35.6486823,-88.7906131
"new york,erie",4,42.7164263,-78.7620327
"maine,cumberland",4,43.7866027,-70.2531887432273
"maryland,calvert",15,39.7003884,-75.9824455
"arkansas,washington",5,35.9672625,-94.2280656
"michigan,washtenaw",6,42.2582044,-83.8440853
"new hampshire,rockingham",4,42.9966675,-71.1003143
"connecticut,new london",4,41.331256,-72.0964371579169
"kentucky,lyon",1,36.9981232,-88.0658149
"maryland,baltimore",6,39.2908816,-76.610759
"texas,bell",1,31.0081659,-97.4314413
"pennsylvania,philadelphia",8,39.9527237,-75.1635262
"iowa,boone",2,42.0171798,-93.9254114
"louisiana,ouachita",2,33.5381997,-92.8179052
"new york,queens",3,40.7498243,-73.7976337
"california,shasta",7,40.7965121,-121.9979194
"missouri,christian",1,36.9586087,-93.1692896
"pennsylvania,susquehanna",1,41.71803185,-75.5583619505367
"texas,burnet",16,30.7763939,-98.1700016
"wyoming,teton",5,43.9133416,-110.6367905
"california,inyo",17,36.5595325,-117.4074712
"new york,putnam",2,43.746793,-73.397255
"new york,nassau",4,25.010423,-77.4024183
"ohio,summit",11,39.1266104,-84.6219297
"new jersey,mercer",2,40.2807177,-74.7033717
"pennsylvania,cumberland",3,40.166947,-77.404042
"oklahoma,cleveland",4,36.3099921,-96.4641953
"pennsylvania,delaware",3,41.1609285,-74.9093368
"texas,montgomery",4,30.301949,-95.5065944
"kentucky,scott",2,37.396318,-87.766849
"michigan,st clair",1,42.9426715,-82.6283554
"nebraska,lancaster",7,40.7768326,-96.7111039
"indiana,porter",44,41.6156584,-87.0741735
"maryland,montgomery",14,39.1406267,-77.2075612
"delaware,new castle",3,39.6620572,-75.5663132
"idaho,bonner",5,48.2663565,-116.5952716
"wisconsin,waukesha",3,43.0116784,-88.2314813
"mississippi,jefferson",1,33.6326189,-89.8950845
"missouri,butler",2,36.7151346,-90.4146358
"georgia,walker",2,31.5404516,-84.3149103
"south carolina,sumter",2,33.9204354,-80.3414693
"arkansas,madison",1,35.9728095,-93.7589024
"california,riverside",25,33.7219991,-116.0372472
"virginia,arlington",6,38.8903961,-77.0841585
"north carolina,stokes",1,35.7165488,-77.2646852
"west virginia,wayne",1,38.2214748,-82.4423747
"wisconsin,iron",1,46.2254778,-90.2125304
"maryland,queen annes",3,38.9964408,-77.0185383
"texas,comal",20,29.7979704,-98.2690787
"tennessee,morgan",2,36.1372409,-84.629496
"missouri,buchanan",2,39.6733203,-94.794829
"georgia,lumpkin",1,32.0509895,-84.7990901
"georgia,jackson",1,33.2945651,-83.9660209
"utah,salt lake",6,40.6632297,-111.9103124
"illinois,coles",1,39.5266741,-88.2184999
"arizona,cochise",31,31.8514532,-109.8181858
"new mexico,torrance",3,34.6356278,-105.9059678
"illinois,monroe",1,38.2722313,-90.1792484
"missouri,laclede",1,37.6475206,-92.6324187
"tennessee,white",1,35.23865825,-89.5137172164384
"missouri,shannon",2,37.1498052,-91.4328245
"texas,nacogdoches",3,31.5970503,-94.5927451
"massachusetts,dukes",5,41.3926378,-70.642011
"mississippi,rankin",1,32.2865353,-89.9070243
"massachusetts,essex",5,42.6320389,-70.7828255
"louisiana,ascension",1,30.2116442,-90.9186104
"new york,ulster",7,42.07602965,-74.2276445603889
"new jersey,gloucester",3,39.7267303,-75.1535378
"missouri,st louis",7,38.6264178,-90.1998378
"ohio,fairfield",2,39.3458953,-84.5605031
"virginia,augusta",1,39.2953787,-78.6377912
"california,tehama",1,40.1251334,-122.2015529
"new jersey,cape may",4,38.933431,-74.9214226
"california,monterey",10,36.2231079,-121.3877428
"washington,douglas",1,47.6212432,-120.0047852
"iowa,polk",34,41.6765808,-93.5921448
"iowa,jasper",2,41.6791308,-93.0647786
"massachusetts,hampshire",1,42.3869382,-72.5299147706745
"north carolina,randolph",2,35.7142874,-79.7975166
"virginia,prince george",1,37.2204272,-77.288033
"florida,baker",1,30.3143459,-82.2847163
"iowa,clayton",1,42.8547706,-91.3667151
"utah,kane",5,37.2439691,-112.0048393
"california,siskiyou",5,41.5007223,-122.544354147521
"texas,dallas",9,32.7762719,-96.7968559
"new jersey,bergen",1,40.7292686,-74.0656969
"indiana,st joseph",1,38.066154,-87.6469646
"texas,collin",8,33.1609629,-96.6060984
"utah,millard",2,39.0364951,-113.0861444
"texas,kendall",4,29.943885,-98.7258845
"louisiana,lafayette",1,30.2240897,-92.0198427
"tennessee,sullivan",5,36.4966673,-82.286903
"washington,thurston",3,46.9319983,-122.8855155
"texas,denton",7,33.1838787,-97.1413417
"utah,box elder",1,41.3586056,-113.2112072
"colorado,rio grande",3,37.5668223,-106.3832155
"new york,columbia",3,2.1698657,-72.165547
"texas,nolan",1,32.2719306,-100.3987748
"california,stanislaus",1,37.5500871,-121.0501425
"illinois,kane",3,41.923434,-88.4248315
"new york,jefferson",1,42.4811884,-74.6104276
"nevada,clark",12,36.3467726,-115.0907378
"kentucky,allen",2,37.6097495,-82.7286034130089
"new mexico,colfax",1,36.5571762,-104.6118941
"oregon,deschutes",7,44.1569232,-121.2586995
"california,marin",15,38.0409144,-122.6199638
"tennessee,lewis",1,35.646012,-84.185726
"ohio,morgan",1,39.504819,-82.094631
"connecticut,hartford",1,41.7655582,-72.6906127614661
"ohio,delaware",2,40.2317686,-82.9651045
"new york,tioga",1,42.1333395,-76.3309339
"pennsylvania,lackawanna",2,41.71788145,-75.5596332997927
"georgia,gwinnett",2,33.9566869,-84.0227467
"iowa,johnson",1,41.6861834,-91.6061124
"georgia,glynn",1,31.2171726,-81.5012681
"texas,jim hogg",1,27.0065425,-98.7047316
"vermont,rutland",4,43.62059485,-73.0165311727497
"washington,king",14,38.8458171,-76.9972182
"new jersey,ocean",2,39.977818,-74.3319287
"new york,delaware",1,42.6243652,-79.0640931
"florida,marion",3,29.2182454,-82.0626948
"wisconsin,waupaca",1,44.3580348,-89.0859464
"montana,missoula",2,46.8701049,-113.995267
"washington,whatcom",4,48.876009,-121.3639434
"north carolina,new hanover",1,34.2708161,-77.8938731
"texas,tom green",1,31.3782559,-100.4133839
"michigan,clinton",4,42.9435238,-84.6125345
"arizona,yuma",2,32.665135,-114.476031572498
"minnesota,st louis",20,47.6201005,-92.4363343
"texas,pecos",2,30.7857437,-102.8065415
"vermont,addison",9,44.088818,-73.302841
"ohio,hamilton",4,39.3995067,-84.5613428
"new mexico,dona ana",5,32.32817,-106.8494235
"ohio,butler",3,40.5886946,-82.4258375
"south carolina,berkeley",1,35.790928,-78.8630854799076
"arkansas,saline",3,34.6021249,-92.6542869
"ohio,ashtabula",1,41.7167229,-80.74947
"ohio,franklin",10,40.0283162,-83.0076657
"minnesota,olmsted",3,43.999812,-92.3765614
"oregon,wasco",1,45.5917107,-120.6981554
"georgia,newton",1,31.3129575,-84.3357424
"ohio,cuyahoga",7,41.48741,-81.684896
"iowa,linn",1,42.0631825,-91.6037932
"california,tulare",6,36.2516475,-118.852583
"ohio,carroll",1,39.7989528,-82.7010016
"arizona,santa cruz",7,31.5094579,-110.8476281
"maryland,wicomico",2,38.4134581,-76.8766366
"louisiana,east baton rouge",7,30.4459596,-91.18738
"oregon,hood river",1,45.7087902,-121.5123728
"idaho,canyon",1,43.6435692,-116.7017144
"ohio,madison",2,41.6604854,-84.5243913303595
"new mexico,rio arriba",1,36.5488273,-106.8155233
"kansas,douglas",3,38.8838392,-95.2874559
"arkansas,yell",1,34.9906072,-93.4283105
"arkansas,pope",2,35.453867,-93.0498623
"florida,bay",1,30.2481693,-85.6593633
"montana,flathead",2,48.3840879,-113.972144
"ohio,geauga",3,41.4768249,-81.1850459
"illinois,de kalb",1,42.0047639,-89.1098991179502
"texas,jeff davis",11,30.7018281,-104.1501698
"kentucky,garrard",2,37.1237006,-83.746308
"north carolina,alexander",1,35.836317,-79.038885
"indiana,lake",3,40.3270127,-86.1746933
"california,mono",4,37.9533927,-118.9398758
"tennessee,franklin",3,35.925206,-86.8689419
"vermont,orleans",1,44.8106805,-72.2010733
"north carolina,halifax",1,36.3261505,-77.591301662915
"tennessee,sevier",2,35.8047065,-83.5291901
"nevada,douglas",1,38.9072611,-119.6201824
"new jersey,morris",2,39.9873346,-75.0443388
"california,modoc",2,41.5450487,-120.7435998
"new mexico,otero",3,32.5059533,-105.8063662
"texas,hidalgo",17,26.3530256,-98.216445
"missouri,carter",1,36.9303011,-90.9598933
"texas,brazos",4,30.65231335,-96.3805801469641
"north carolina,graham",1,36.0690258,-79.4005756
"pennsylvania,snyder",1,39.9237275,-75.1695817
"michigan,kent",5,43.0024013,-85.5502718
"missouri,phelps",1,37.913292,-91.8168126
"new jersey,camden",4,39.9448402,-75.1198911
"new hampshire,sullivan",5,43.0131353,-72.2209182
"illinois,champaign",7,40.1164205,-88.2433829
"utah,sanpete",4,39.3606305,-111.5767825
"new jersey,somerset",4,40.5012385,-74.485477485179
"michigan,alger",1,46.4047895,-86.5280993
"pennsylvania,washington",1,40.17396,-80.2461714
"minnesota,cass",3,47.0234117,-94.3454604
"west virginia,fayette",1,38.0634441,-81.0734346
"maine,somerset",1,44.5552585,-70.5525482029382
"massachusetts,suffolk",2,42.3544455,-70.9788771
"arizona,pinal",1,32.8085851,-111.4426212
"florida,manatee",1,27.5213933,-82.3801566
"vermont,chittenden",10,43.70809,-72.948532
"michigan,grand traverse",3,44.6409162,-85.5801336
"wisconsin,st croix",1,44.862183,-92.6928153
"south dakota,pennington",4,43.9955746,-102.7854668
"new mexico,sandoval",4,35.5910806,-106.8472167
"virginia,stafford",2,38.4222681,-77.4084067
"new jersey,burlington",2,40.0192445,-74.81923825
"new hampshire,grafton",3,43.562979,-71.946716
"california,placer",1,39.1012064,-120.7650606
"new mexico,bernalillo",5,35.0349239,-106.6870693
"tennessee,hamilton",8,36.4987144,-82.2615242
"texas,el paso",4,31.7754152,-106.464634
"kansas,shawnee",1,39.0273676,-95.7627535
"california,ventura",7,34.4458248,-119.0779359
"michigan,houghton",1,46.8591287,-88.7774734
"new york,sullivan",2,43.0545116,-75.8468569
"georgia,walton",1,33.762884,-83.740416
"vermont,windsor",7,43.480826,-72.385483
"pennsylvania,bucks",5,40.3451668,-75.1263909
"colorado,douglas",2,39.3420437,-104.9468945
"new jersey,essex",2,39.3405867,-74.4942883
"california,mendocino",8,39.3176491,-123.4126399
"arkansas,pulaski",4,34.7550166,-92.3003472
"washington,clallam",4,47.9998383,-123.7373472
"colorado,el paso",7,38.8287435,-104.5253456
"new york,chemung",1,42.0084073,-76.623736
"vermont,bennington",11,42.8783183,-73.1971692
"south carolina,pickens",2,34.8834489,-82.7073573
"colorado,arapahoe",4,39.6416781,-104.3628567
"virginia,hanover",2,37.766531,-77.3702584
"tennessee,haywood",1,35.5675653,-89.287824
"texas,tarrant",8,32.7513658,-97.335696
"arkansas,carroll",1,36.3386737,-93.5093048
"california,glenn",2,39.5912766,-122.3778662
"alabama,tuscaloosa",3,33.2095614,-87.5675258
"oklahoma,woodward",2,36.4336481,-99.3903862
"mississippi,choctaw",1,33.5578928,-90.8131531
"new jersey,middlesex",4,40.5734911,-74.494037
"minnesota,anoka",1,45.2710195,-93.2827625
"minnesota,dakota",4,44.666655,-93.044911
"colorado,denver",5,39.7392364,-104.9848623
"virginia,prince william",2,39.6016319,-79.498617
"colorado,pueblo",1,38.2544472,-104.609141
"kansas,pottawatomie",1,39.3928203,-96.3414279
"missouri,st charles",2,38.7877791,-90.6747372
"wyoming,lincoln",1,42.1765551,-110.7208048
"indiana,tippecanoe",2,41.2089325,-86.114999
"mississippi,clay",2,34.2701035,-88.3372675
"mississippi,forrest",1,31.1540772,-89.2398601
"oregon,clackamas",3,45.1608821,-122.2305038
"new mexico,hidalgo",1,26.2711968,-98.3266103
"texas,johnson",4,32.3766071,-97.3568623
"virginia,prince edward",3,37.1744596,-78.2751472
"utah,wasatch",1,40.3348338,-111.1186992
"new york,washington",1,38.88900425,-77.040808185058
"arkansas,benton",4,36.3456186,-94.2670404
"texas,cameron",3,26.1291189,-97.4134281
"tennessee,washington",3,38.88983405,-77.0407796619863
"kansas,jefferson",1,39.2405893,-95.391413
"pennsylvania,beaver",4,40.6953896,-80.3047887
"minnesota,hubbard",1,47.1138266,-94.9427679
"missouri,nodaway",1,40.3483437,-94.8723663
"texas,henderson",1,32.182598,-95.7893178
"ohio,montgomery",2,39.2282432,-84.3539662
"alabama,jefferson",3,33.5228184,-86.9164513
"texas,ector",1,31.8941755,-102.5794339
"new mexico,santa fe",7,35.6869996,-105.9377997
"pennsylvania,chester",6,39.849557,-75.3557458
"arkansas,cleburne",1,35.5298937,-92.0312818
"colorado,routt",1,40.4514373,-106.9724072
"texas,presidio",9,29.9883766,-104.2336552
"texas,uvalde",9,29.300357,-99.7733181
"nebraska,douglas",5,41.2954112,-96.1415672
"maryland,talbot",1,38.7542065,-76.1919824
"north carolina,wilkes",1,36.1998247,-81.1341351
"virginia,botetourt",1,37.5520825,-79.8029569
"kentucky,hardin",1,36.7647773,-88.2953134
"maryland,allegany",2,39.6572451,-78.6550628
"indiana,vanderburgh",1,38.0461185,-87.5806553
"new jersey,hunterdon",3,40.5770634,-74.9261552
"missouri,platte",1,39.3770348,-94.7716306
"nebraska,scotts bluff",7,41.8555787,-103.7088303
"west virginia,clay",1,38.4603788,-81.0851086
"south carolina,york",1,34.9940463,-81.2424638
"pennsylvania,sullivan",1,41.4402556,-76.5117017
"vermont,orange",2,44.1483959,-72.4026007
"new mexico,eddy",7,32.4003136,-104.3452596
"massachusetts,bristol",2,41.7425538,-71.0856545
"washington,pierce",2,46.6343532,-119.4521747
"oregon,benton",1,42.474695,-121.383188
